"","wafer11","wafer12","wafer13","wafer14","wafer21","wafer22","wafer23","wafer24"
"1",950,930,950,930,1010,980,970,980
"2",1050,1050,1030,1040,1050,1050,1050,1060
"3",940,960,940,930,1000,980,960,1020
"4",990,1020,1020,1000,980,990,1000,990
"5",980,980,980,1000,900,920,910,940
"6",900,940,930,930,930,930,960,900
"7",1050,1070,1100,1070,1110,1130,1100,1140
"8",1100,1060,1070,1050,1070,1090,1110,1060
"9",1070,1030,1070,1020,1020,1070,1090,1050
"10",1000,950,1010,970,1020,980,990,1020
"11",1050,1060,1040,1050,1060,1030,1010,980
"12",1050,1060,1060,1060,1060,1070,1050,1060
"13",1050,1010,1080,1090,1010,1040,980,1010
"14",1070,1080,1070,1060,1020,1020,1040,1040
"15",1000,950,960,970,980,1000,1010,1020
"16",990,990,1020,990,1000,1010,1000,1010
"17",1120,1080,1110,1120,1100,1090,1070,1120
"18",930,950,930,920,990,1000,1010,1000
"19",960,960,940,980,1020,1050,1060,1040
"20",970,990,1040,1000,1000,1040,980,1010
"21",1100,1120,1120,1080,1060,1070,1090,1050
"22",1040,1020,1040,1050,1120,1100,1080,1090
"23",1030,1050,1010,1060,1010,1000,1020,1030
"24",1030,1020,1000,1010,1100,1120,1110,1080
"25",1010,1030,970,1000,1030,1110,1030,1060
"26",1000,960,970,960,1090,1120,1080,1100
"27",1100,1060,1040,1080,1020,1000,1020,990
"28",1030,990,1020,980,920,920,970,910
"29",840,850,830,850,840,900,910,900
"30",1040,1060,1060,1070,960,930,950,980
