"waterph","elev","code"
7.909999847,0.2440000027,0
7.139999866,0.375,0
6.809999943,0.5669999719,0
6.96999979,0.5120000243,0
7.210000038,0.4079999924,0
6.940000057,0.5120000243,0
6.590000153,0.5059999824,0
6.940000057,0.4880000055,0
6.940000057,0.4880000055,0
8.430000305,0.2319999933,0
7.090000153,0.5669999719,0
7.059999943,0.5609999895,0
7.170000076,0.4480000138,0
6.869999886,0.5609999895,0
7.099999905,0.4880000055,0
7.079999924,0.6100000143,1
6.699999809,1.036000013,1
7.269999981,0.503000021,0
7.03000021,0.4569999874,0
6.829999924,0.4359999895,0
6.940000057,0.5429999828,0
7,0.6069999933,1
6.900000095,1.029999971,1
6.800000191,0.9599999785,1
7.230000019,0.6100000143,1
6.579999924,1.297999978,1
6.929999828,0.4329999983,0
6.800000191,0.5789999962,0
6.630000114,0.7319999933,1
8.020000458,0.3050000072,0
8.180000305,0.2800000012,0
6.579999924,0.4300000072,0
7.239999771,0.4420000017,0
6.889999866,0.5109999776,0
7.440000057,0.6830000281,1
6.769999981,0.8379999995,1
6.75,0.90200001,1
7.150000095,0.5960000157,0
6.909999847,0.4850000143,0
7.059999943,0.5490000248,0
7.230000019,0.8529999852,1
7.019999981,0.7319999933,1
7.079999924,0.7799999714,1
6.380000114,0.5490000248,0
7.039999962,0.4359999895,0
6.829999924,0.8899999857,1
6.78000021,0.8529999852,1
6.71999979,0.9509999752,1
7.429999828,0.8529999852,1
7.079999924,0.8840000033,1
6.960000038,0.8289999962,1
7.03000021,0.9359999895,1
8.279999733,0.4149999917,0
7.03000021,0.6710000038,1
8.380000114,0.4269999862,0
7.03000021,0.3289999962,0
6.630000114,1.008999944,1
6.96999979,0.65200001,1
6.860000134,0.6890000105,1
6.869999886,0.7319999933,1
7.389999866,0.6610000134,1
7.849999905,0.621999979,1
7.670000076,0.5970000029,0
8.199999809,0.5,0
7.96999979,0.621999979,1
7.340000153,0.6710000038,1
7.360000134,0.9139999747,1
7.230000019,0.2680000067,0
6.920000076,0.6610000134,1
7.079999924,0.6460000277,1
7.320000172,0.5490000248,0
7.400000095,0.4269999862,0
6.949999809,0.4269999862,0
7.079999924,0.5519999862,0
7.199999809,0.4449999928,0
